 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2011
"Município";"Óbitos_p/Residênc"
"350010 Adamantina";1
"350040 Águas da Prata";1
"350060 Águas de São Pedro";1
"350070 Agudos";1
"350120 Álvares Florence";1
"350160 Americana";21
"350170 Américo Brasiliense";1
"350180 Américo de Campos";1
"350190 Amparo";2
"350210 Andradina";5
"350230 Anhembi";1
"350250 Aparecida";3
"350270 Apiaí";1
"350280 Araçatuba";12
"350290 Araçoiaba da Serra";1
"350320 Araraquara";18
"350330 Araras";11
"350370 Ariranha";1
"350380 Artur Nogueira";1
"350390 Arujá";2
"350395 Aspásia";1
"350400 Assis";2
"350410 Atibaia";5
"350450 Avaré";6
"350460 Bady Bassitt";2
"350470 Balbinos";4
"350490 Bananal";1
"350510 Barbosa";2
"350520 Bariri";1
"350530 Barra Bonita";2
"350550 Barretos";20
"350560 Barrinha";1
"350570 Barueri";16
"350580 Bastos";2
"350590 Batatais";2
"350600 Bauru";41
"350610 Bebedouro";6
"350620 Bento de Abreu";1
"350635 Bertioga";2
"350650 Birigui";7
"350660 Biritiba-Mirim";3
"350670 Boa Esperança do Sul";3
"350680 Bocaina";1
"350700 Boituva";2
"350710 Bom Jesus dos Perdões";1
"350730 Boracéia";1
"350750 Botucatu";8
"350760 Bragança Paulista";7
"350775 Brejo Alegre";1
"350780 Brodowski";1
"350790 Brotas";1
"350810 Buritama";1
"350840 Cabreúva";2
"350850 Caçapava";13
"350860 Cachoeira Paulista";2
"350890 Caiabu";1
"350900 Caieiras";4
"350920 Cajamar";1
"350945 Campina do Monte Alegre";1
"350950 Campinas";70
"350960 Campo Limpo Paulista";5
"350970 Campos do Jordão";5
"350990 Cananéia";1
"351000 Cândido Mota";1
"351020 Capão Bonito";2
"351030 Capela do Alto";2
"351040 Capivari";2
"351050 Caraguatatuba";16
"351060 Carapicuíba";11
"351070 Cardoso";2
"351080 Casa Branca";1
"351110 Catanduva";21
"351120 Catiguá";1
"351150 Cerquilho";5
"351200 Colina";4
"351220 Conchal";1
"351230 Conchas";1
"351280 Cosmópolis";4
"351300 Cotia";10
"351310 Cravinhos";1
"351340 Cruzeiro";9
"351350 Cubatão";12
"351370 Descalvado";1
"351380 Diadema";26
"351400 Dobrada";1
"351410 Dois Córregos";1
"351440 Dracena";2
"351460 Dumont";1
"351490 Elias Fausto";1
"351500 Embu das Artes";6
"351510 Embu-Guaçu";4
"351515 Engenheiro Coelho";2
"351560 Fernando Prestes";1
"351550 Fernandópolis";4
"351570 Ferraz de Vasconcelos";11
