 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2013
"Município";"Óbitos_p/Residênc"
"350030 Aguaí";3
"350050 Águas de Lindóia";2
"350070 Agudos";7
"350090 Altair";1
"350110 Alto Alegre";2
"350120 Álvares Florence";1
"350130 Álvares Machado";1
"350140 Álvaro de Carvalho";1
"350160 Americana";14
"350170 Américo Brasiliense";2
"350190 Amparo";3
"350210 Andradina";3
"350240 Anhumas";1
"350250 Aparecida";2
"350270 Apiaí";2
"350280 Araçatuba";21
"350310 Arandu";1
"350320 Araraquara";17
"350330 Araras";10
"350340 Arealva";1
"350360 Areiópolis";1
"350370 Ariranha";1
"350380 Artur Nogueira";1
"350390 Arujá";4
"350400 Assis";4
"350410 Atibaia";11
"350450 Avaré";4
"350460 Bady Bassitt";1
"350470 Balbinos";3
"350520 Bariri";2
"350550 Barretos";18
"350560 Barrinha";1
"350570 Barueri";14
"350580 Bastos";1
"350590 Batatais";4
"350600 Bauru";53
"350610 Bebedouro";7
"350635 Bertioga";1
"350650 Birigui";4
"350660 Biritiba-Mirim";1
"350670 Boa Esperança do Sul";1
"350700 Boituva";3
"350730 Boracéia";1
"350740 Borborema";1
"350750 Botucatu";6
"350760 Bragança Paulista";3
"350780 Brodowski";2
"350790 Brotas";1
"350800 Buri";1
"350810 Buritama";1
"350830 Cabrália Paulista";1
"350840 Cabreúva";1
"350850 Caçapava";12
"350880 Cafelândia";1
"350900 Caieiras";4
"350910 Caiuá";1
"350925 Cajati";2
"350950 Campinas";55
"350960 Campo Limpo Paulista";4
"350970 Campos do Jordão";1
"351000 Cândido Mota";1
"351015 Canitar";1
"351020 Capão Bonito";1
"351030 Capela do Alto";1
"351040 Capivari";10
"351050 Caraguatatuba";11
"351060 Carapicuíba";28
"351070 Cardoso";1
"351080 Casa Branca";2
"351110 Catanduva";11
"351120 Catiguá";1
"351130 Cedral";2
"351150 Cerquilho";1
"351200 Colina";1
"351210 Colômbia";2
"351230 Conchas";1
"351280 Cosmópolis";1
"351290 Cosmorama";1
"351300 Cotia";6
"351310 Cravinhos";1
"351320 Cristais Paulista";1
"351340 Cruzeiro";16
"351350 Cubatão";12
"351370 Descalvado";1
"351380 Diadema";28
"351400 Dobrada";1
"351410 Dois Córregos";2
"351430 Dourado";1
"351440 Dracena";4
"351460 Dumont";1
"351500 Embu das Artes";9
"351510 Embu-Guaçu";3
"351512 Emilianópolis";1
"351515 Engenheiro Coelho";1
"351530 Estrela do Norte";1
"351550 Fernandópolis";4
"351570 Ferraz de Vasconcelos";10
"351590 Floreal";1
"351610 Florínia";1
"351620 Franca";18
"351630 Francisco Morato";10
"351640 Franco da Rocha";10
"351670 Garça";2
"351685 Gavião Peixoto";1
"351690 General Salgado";2
"351740 Guaíra";5
"351750 Guapiaçu";1
"351760 Guapiara";1
"351780 Guaraçaí";1
"351790 Guaraci";1
"351810 Guarantã";1
"351820 Guararapes";1
"351830 Guararema";2
"351840 Guaratinguetá";9
"351870 Guarujá";25
"351880 Guarulhos";64
"351907 Hortolândia";9
"351930 Ibaté";4
"351960 Ibitinga";1
"351980 Icém";3
"351990 Iepê";1
"352000 Igaraçu do Tietê";1
"352010 Igarapava";2
"352030 Iguape";3
"352044 Ilha Solteira";2
"352040 Ilhabela";1
"352050 Indaiatuba";11
"352060 Indiana";2
"352100 Iperó";3
"352110 Ipeúna";1
"352150 Irapuã";1
"352190 Itajobi";1
"352210 Itanhaém";10
"352215 Itaóca";1
"352220 Itapecerica da Serra";7
"352230 Itapetininga";8
"352240 Itapeva";3
"352250 Itapevi";7
"352260 Itapira";7
"352270 Itápolis";1
"352310 Itaquaquecetuba";17
"352320 Itararé";8
"352340 Itatiba";4
"352350 Itatinga";1
"352360 Itirapina";2
"352390 Itu";14
"352400 Itupeva";1
"352430 Jaboticabal";11
"352440 Jacareí";18
"352470 Jaguariúna";4
"352480 Jales";3
"352500 Jandira";5
"352510 Jardinópolis";1
"352530 Jaú";5
"352570 José Bonifácio";4
"352590 Jundiaí";12
"352610 Juquiá";2
"352650 Lavínia";3
"352660 Lavrinhas";1
"352670 Leme";4
"352690 Limeira";22
"352710 Lins";6
"352720 Lorena";2
"352740 Lucélia";2
"352800 Macatuba";1
"352840 Mairinque";2
"352850 Mairiporã";3
"352870 Marabá Paulista";1
"352900 Marília";9
"352920 Martinópolis";1
"352930 Matão";2
"352940 Mauá";23
"352950 Mendonça";3
"352970 Miguelópolis";1
"352990 Miracatu";2
"353010 Mirandópolis";2
"353020 Mirante do Paranapanema";1
"353030 Mirassol";6
"353050 Mococa";6
"353060 Mogi das Cruzes";22
"353070 Mogi Guaçu";9
"353080 Mogi Mirim";9
"353110 Mongaguá";6
"353130 Monte Alto";4
"353180 Monte Mor";1
"353205 Motuca";1
"353210 Murutinga do Sul";1
"353220 Narandiba";1
"353250 Neves Paulista";1
"353270 Nipoã";2
"353290 Nova Europa";4
"353340 Nova Odessa";3
"353350 Novo Horizonte";2
"353390 Olímpia";1
"353410 Oriente";2
"353440 Osasco";34
"353460 Osvaldo Cruz";1
"353470 Ourinhos";6
"353490 Pacaembu";1
"353510 Palmares Paulista";1
"353530 Palmital";2
"353550 Paraguaçu Paulista";3
"353560 Paraibuna";1
"353630 Patrocínio Paulista";1
"353650 Paulínia";5
"353670 Pederneiras";3
"353700 Pedregulho";1
"353730 Penápolis";3
"353740 Pereira Barreto";8
"353760 Peruíbe";10
"353780 Piedade";4
"353800 Pindamonhangaba";12
"353810 Pindorama";1
"353860 Piracaia";2
"353870 Piracicaba";29
"353890 Pirajuí";1
"353920 Pirapozinho";1
"353930 Pirassununga";3
"353940 Piratininga";1
"353970 Platina";1
"353980 Poá";8
"354000 Pompéia";1
"354020 Pontal";2
"354060 Porto Feliz";2
"354070 Porto Ferreira";5
"354075 Potim";7
"354085 Pracinha";1
"354100 Praia Grande";26
"354130 Presidente Epitácio";5
"354140 Presidente Prudente";16
"354150 Presidente Venceslau";6
"354160 Promissão";2
"354165 Quadra";1
"354170 Quatá";1
"354210 Rafard";1
"354220 Rancharia";1
"354240 Regente Feijó";1
"354250 Reginópolis";1
"354260 Registro";5
"354300 Ribeirão Branco";2
"354330 Ribeirão Pires";4
"354340 Ribeirão Preto";55
"354370 Rincão";1
"354390 Rio Claro";13
"354400 Rio das Pedras";1
"354410 Rio Grande da Serra";2
"354350 Riversul";1
"354460 Sabino";1
"354520 Salto";5
"354570 Santa Albertina";1
"354580 Santa Bárbara d'Oeste";4
"354600 Santa Branca";1
"354630 Santa Cruz das Palmeiras";2
"354660 Santa Fé do Sul";1
"354680 Santa Isabel";1
"354730 Santana de Parnaíba";6
"354770 Santo Anastácio";2
"354780 Santo André";44
"354800 Santo Antônio de Posse";1
"354850 Santos";53
"354860 São Bento do Sapucaí";1
"354870 São Bernardo do Campo";31
"354880 São Caetano do Sul";6
"354890 São Carlos";27
"354910 São João da Boa Vista";6
"354940 São Joaquim da Barra";4
"354970 São José do Rio Pardo";1
"354980 São José do Rio Preto";40
"354990 São José dos Campos";39
"355000 São Luís do Paraitinga";1
"355030 São Paulo";769
"355040 São Pedro";4
"355060 São Roque";4
"355070 São Sebastião";7
"355100 São Vicente";60
"355120 Sarutaiá";1
"355140 Serra Azul";3
"355150 Serrana";4
"355170 Sertãozinho";11
"355180 Sete Barras";1
"355200 Silveiras";1
"355210 Socorro";1
"355220 Sorocaba";44
"355230 Sud Mennucci";2
"355240 Sumaré";8
"355250 Suzano";9
"355270 Tabatinga";1
"355280 Taboão da Serra";16
"355330 Tambaú";2
"355370 Taquaritinga";6
"355380 Taquarituba";3
"355400 Tatuí";11
"355410 Taubaté";32
"355480 Tremembé";6
"355490 Três Fronteiras";1
"355500 Tupã";5
"355510 Tupi Paulista";3
"355520 Turiúba";1
"355540 Ubatuba";2
"355610 Valentim Gentil";1
"355620 Valinhos";8
"355630 Valparaíso";2
"355640 Vargem Grande do Sul";1
"355650 Várzea Paulista";8
"355670 Vinhedo";1
"355680 Viradouro";2
"355690 Vista Alegre do Alto";1
"355700 Votorantim";5
"355710 Votuporanga";15
"350000 Município ignorado - SP";3
"Total";2692
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
